auteur,Date,Titre,Source,Etiquettes ,Décennie,"Notoriété sur Fabula : ""Prénom+nom"" ",Notoriété sur Fabula : nom,Commentaires ,Documents BNF ,Nom du relecteur ,Remarques,Problèmes,
"Dumas, Alexandre Père",1850-01-01T00:00:00+01:00,Le vicomte de Bragelonne,Bibebook,canonique,1850-1860,350,3110,,114,Marianne ,noté 1847 dans le corpus,,
"Dumas, Alexandre Père",1850-01-01T00:00:00+01:00,La tulipe noire,,canonique,1850-1860,350,3110,,60,Marianne ,noté 1849 dans le corpus,,
"Dumas, Alexandre Père",1853-01-01T00:00:00+01:00,La Comtesse de Charny - Tome II (Les Mémoires d'un médecin),Feedbooks,canonique,1850-1860,350,3110,,64,Marianne ,,,
"Dumas, Alexandre Père",1850-01-01T00:00:00+01:00,La femme au collier de velours,,canonique,1850-1860,350,3110,,73,Marianne ,,,
"Dumas, Alexandre Père",1855-01-01T00:00:00+01:00,Le page du duc de Savoie I,Bibebook,canonique,1850-1860,350,3110,,23,Marianne ,,,
"Dumas, Alexandre Père",1859-01-01T00:00:00+01:00,Jane,,canonique,1850-1860,350,3110,,8,Marianne ,,,
"Dumas, Alexandre Père",1859-01-01T00:00:00+01:00,sultanetta,Bibebook,canonique,1850-1860,350,3110,,6,Marianne ,,,
"Dumas, Alexandre Père",1859-01-29T00:00:00+01:00,Ammalat-Beg,,canonique,1850-1860,350,3110,,2,Marianne ,,,
"Dumas, Alexandre Père",1858-01-01T00:00:00+01:00,Les Louves de Machecoul II,Bibebook,canonique,1850-1860,350,3110,,22,Marianne ,,,
"Flaubert, Gustave",1856-02-07T00:00:00+01:00,Madame Bovary,,canonique,1850-1860,560,5500,,280,Camille  ,,,
"Gautier, Théophile",1850-06-12T00:00:00+01:00,Jean et Jeannette,Les Bourlapapey Bibliothèque numérique romande,canonique,1850-1860,475,1150,,6,Marianne ,,,
"Gautier, Théophile",1856-01-15T00:00:00+01:00,Avatar,Michel Lévy (Paris),canonique,1850-1860,475,1150,,12,Marianne ,,,
"Gautier, Théophile",1858-04-15T00:00:00+01:00,Le roman de la momie,,canonique,1850-1860,475,1150,,106,Marianne ,,,
"Lamartine, Alphonse de",1850-02-15T00:00:00+01:00,Geneviève : histoire d'une servante,impr. de Wittersheim,canonique ,1850-1860,45,430,,22,Marianne ,,,
"Lamartine, Alphonse de",1852-10-29T00:00:00+01:00,Graziella,,canonique,1850-1860,45,430,,143,Marianne ,,,
"Nerval, Gérard de",1854-09-22T00:00:00+01:00,Promenades et souvenirs,,canonique,1850-1860,258,850,,31,Marianne ,,,
"Nerval, Gérard de",1855-01-04T00:00:00+01:00,Aurélia,Bibebook,canonique,1850-1860,258,850,,96,Marianne ,,,
"Nerval, Gérard de",1856-02-15T00:00:00+01:00,Le Marquis de Fayolle,Michel-Lévy frères (Paris),canonique,1850-1860,258,850,,6,Marianne ,,,
"Sand, George",1853-04-27T00:00:00+01:00,Les maîtres sonneurs,,canonique,1850-1860,2380,2510,,26,Marianne ,,,
"Sand, George",1859-10-06T00:00:00+01:00,Elle et lui,,canonique,1850-1860,2380,2510,,35,Marianne ,,,
"Sand, George",1858-07-06T00:00:00+01:00,Les beaux messieurs de Bois-Doré,,canonique,1850-1860,2380,2510,,29,Marianne ,,,
"Sand, George",1857-11-01T00:00:00+01:00,"La Daniella, Vol. I et II",,canonique,1850-1860,2380,2510,,12,Marianne ,,,
"Sand, George",1857-04-27T00:00:00+01:00,Les dames vertes,,canonique,1850-1860,2380,2510,,10,Marianne ,,,
"Sand, George",1856-03-15T00:00:00+01:00,Les Amours de l'âge d'or : Evenor et Leucippe,Michel-Lévy frères (Paris),canonique,1850-1860,2380,2510,,7,Marianne ,,,
"Ségur, comtesse de",1858-04-08T00:00:00+01:00,Les Petites Filles Modèles,Atramenta (www.atramenta.net),"canonique, littérature jeunesse",1850-1860,74,94,,157,Marianne ,,,
"Ségur, comtesse de",1858-04-08T00:00:00+01:00,Les Malheurs de Sophie,Atramenta (www.atramenta.net),"canonique, littérature jeunesse",1850-1860,74,94,,218,Marianne ,,,
"Ségur, comtesse de",1859-04-08T00:00:00+01:00,Les Vacances,Atramenta (www.atramenta.net),"canonique, littérature jeunesse",1850-1860,74,94,,95,Marianne ,,,
"Sue, Eugène",1851-01-01T00:00:00+01:00,Les Mystères du peuple - Tome V,Bibebook,canonique,1850-1860,164,341,,29,Marianne ,,,
"Chapus, Eugène",1855-01-15T00:00:00+01:00,Les soirées de Chantilly,Librairie nouvelle (Paris),non-canonique ,1850-1860,1,1,,1,Marianne ,,,
"About, Edmond",1857-01-01T00:00:00+01:00,Le Roi des montagnes,Bibebook,non-canonique ,1850-1860,9,non pertinent,,21,Marianne ,,,
"Achard, Amédée",1858-01-01T00:00:00+01:00,Madame Rose,Bibebook,non-canonique,1850-1860,1,120,,5,Marianne ,,,
"Aimard, Gustave",1858-01-01T00:00:00+01:00,Les trappeurs de l'Arkansas,Bibebook,non-canonique,1850-1860,9,10,,29,Camille ,"attention, conversion a mis les différentes parties dans le désordre",,
"Chavannes de La Giraudière, Hippolyte de",1853-01-15T00:00:00+01:00,Les Petits voyageurs en Californie,A. Mame,non-canonique ,1850-1860,2,2,,1,Marianne ,,,
"Desnoiresterres, Gustave",1853-01-15T00:00:00+01:00,Un amour en diligence,Librairie nouvelle,non-canonique,1850-1860,0,0,,1,Marianne ,,,
"Feuillet, Octave",1858-01-01T01:00:00+01:00,Le roman d'un jeune homme pauvre,Bibebook,non-canonique,1850-1860,6,non-pertinent,,19,Camille ,,,
"Féval, Paul (père)",1857-07-16T00:00:00+01:00,Le Bossu,,non-canonique,1850-1860,35,41,,115,Marianne ,,,
"Féval, Paul (père)",1855-06-29T00:00:00+01:00,L'Homme de fer,V. Palmé,non-canonique,1850-1860,35,41,,16,Marianne ,,,
"Gérard, Jules",1855-01-15T00:00:00+01:00,La Chasse au lion,Librairie nouvelle,non-canonique ,1850-1860,0,non pertinent,,10,Marianne ,,,
"Gouraud, Julie",1858-01-15T00:00:00+01:00,Les Vacances d'Yvonne,C. Douniol,"non-canonique, littérature jeunesse",1850-1860,4,non pertinent,,15,Marianne ,,,
"Gozlan, Léon",1853-01-15T00:00:00+01:00,Les Vendanges,Michel-Lévy frères,"non-canonique, nouvelles",1850-1860,4,6,,2,Marianne ,,,
