auteur,Date,Titre,Source,Etiquettes ,Décennie,"Notoriété sur Fabula : ""Prénom+nom"" ",Notoriété sur Fabula : nom,Commentaires ,Documents BNF ,Nom du relecteur ,Remarques,Problèmes,
"Verne, Jules",1875-01-02T00:00:00+01:00,L'île mystérieuse,canonique,canonique,1870-1880,1670,1480,,100,Marianne,,,
"Verne, Jules",1877-06-11T00:00:00+01:00,Hector Servadac,canonique,canonique,1870-1880,1670,1480,,36,Marianne,,,
"Zola, Émile",1871-06-04T00:00:00+01:00,La fortune des Rougon,,canonique,1870-1880,366,2450,,73,Marianne,,,
"Zola, Émile",1872-06-04T00:00:00+01:00,La curée,,canonique,1870-1880,366,2450,,76,Marianne,,,
"Zola, Émile",1878-06-04T00:00:00+01:00,L’assommoir,,canonique,1870-1880,366,2450,,140,Marianne,,,
"Zola, Émile",1875-06-04T00:00:00+01:00,La faute de l’abbé Mouret,,canonique,1870-1880,366,2450,,55,Marianne,,,
"Zola, Émile",1878-06-04T00:00:00+01:00,Une page d’amour,,canonique,1870-1880,366,2450,,78,Marianne,,,
Erckmann-Chatrian,1876-01-01T00:00:00+01:00,L'ami Fritz,Bibebook,non-canonique,1870-1880,non-pertinent,32,,57,Camille,note de bas de page,,
"Féval, Paul (père)",1875-01-04T00:00:00+01:00,La Ville-Vampire (ou bien le malheur d’écrire des romans noirs),non-canonique,non-canonique,1870-1880,35,41,,4,Camille,,,
"Gaboriau, Émile",1873-01-01T00:00:00+01:00,"La Dégringolade, Tome 1",non-canonique,non-canonique,1870-1880,20,4,,4,Camille,,,
"Gobineau, Joseph Arthur (de)",1874-12-15T00:00:00+01:00,Les Pléiades,non-canonique,non-canonique,1870-1880,5,42,,16,Camille ,,,
"Lermina, Jules",1876-03-21T00:00:00+01:00,Les loups de Paris - Tome 1- Le club des morts ,non-canonique,non-canonique,1870-1880,9,14,,3,Camille ,,,
"Malot, Hector",1876-12-13T00:00:00+01:00,L'auberge du monde- Tome 1,non-canonique,non-canonique,1870-1880,38,43,,4,Camille ,note de bas de page ,,
"Malot, Hector",1873-11-28T00:00:00+01:00,Clotilde Martory,non-canonique,non-canonique,1870-1880,38,43,,4,Camille ,,,
"Malot, Hector",1878-11-28T00:00:00+01:00,Cara,non-canonique,non-canonique,1870-1880,38,43,,5,Camille ,,,
"Ponson du Terrail, Pierre",1870-09-01T00:00:00+01:00,Rocambole La Corde du pendu - Tome I : La Corde du pendu,non-canonique,non-canonique,1870-1880,9,10,,2,Camille ,,,
"Houssaye, Arsène",1878-07-25T00:00:00+01:00,Les Trois duchesses (tome 1),non-canonique,non-canonique,1870-1880,27,41,,2,Camille,,,
"Houssaye, Arsène",1878-08-03T00:00:00+01:00,"Les Larmes de Jeanne, histoire parisienne",non-canonique,non-canonique,1870-1880,27,41,,2,Camille,,,
"Legouvé, Ernest",1875-02-15T00:00:00+01:00,"Nos filles et nos fils, scènes et études de famille",littérature jeunesse,non-canonique,1870-1880,7,16,,4,,,,
"Sarcey, Francisque",1876-03-15T00:00:00+01:00,Étienne Moret,non-canonique,non-canonique,1870-1880,20,non pertinent,,1,,,,
"Aimard, Gustave",1876-01-15T00:00:00+01:00,Les invisibles de Paris,non-canonique,non-canonique,1870-1880,9,10,,10,Camille,Prologue qui contient lui même des chapitres + notes de bas de page,,
"Assollant, Alfred",1878-06-02T00:00:00+01:00,Le plus hardi des gueux,non-canonique,non-canonique,1870-1880,0,0,,1,Camille,,,
"Beaugrand, Honoré",1874-01-01T00:00:00+01:00,"Anita, souvenirs d’un contre-guerillas",non-canonique,non-canonique,1870-1880,2,non pertinent ,,0,,,,
"Boisgobey, Fortuné du",1876-01-15T00:00:00+01:00,L'Omnibus du diable,non-canonique,non-canonique,1870-1880,3,4,,1,Camille ,notes de bas de page ,,
"Bouvier, Alexis",1879-01-15T00:00:00+01:00,La Belle Grêlée,non-canonique,non-canonique,1870-1880,1,non pertinent,,6,Camille ,,,
"Belot, Adolphe",1875-01-15T00:00:00+01:00,Les Mystères mondains,non-canonique,non-canonique,1870-1880,3,non pertinent,,23,,div pas indiqué,,
"Cherbuliez, Victor",1875-04-06T00:00:00+01:00,Miss Rovel,non-canonique,non-canonique,1870-1880,4,non pertinent,,16,Camille,,,
"Feuillet, Octave",1876-01-01T01:00:00+01:00,Histoire de Sibylle,non-canonique,non-canonique,1870-1880,6,non pertinent,,3,Camille,,,
"Gréville, Henry",1876-01-04T00:00:00+01:00,Dosia,non-canonique,non-canonique,1870-1880,3,5,,13,Camille,,,
"Montépin, Xavier de",1876-02-15T00:00:00+01:00,Le Ventriloque. L'assassin de Mariette,non-canonique,non-canonique,1870-1880,0,1,,3,,,,
"Lebourgeois, Marie",1879-06-09T00:00:00+01:00,La Goutte de miel,non-canonique,non-canonique,1870-1880,0,0,,1,Camille,Partie 1 et  2 inversées. ,,
"Dupuis, Eudoxie",1878-05-26T00:00:00+01:00,Cyprienne et Cyprien,non-canonique,non-canonique,1870-1880,0,non pertinent,,2,,,,
"Fleuriot, Zénaïde",1874-01-15T00:00:00+01:00,En congé,non-canonique,non-canonique,1870-1880,6,7,,6,Camille ,,,
"Barrès, Maurice",1888-10-07T00:00:00+01:00,Le culte du moi 1 / Sous l'oeil des barbares,,canonique,1880-1890,164,853,(mais homonymie barrès/barres),21,,texte problématique : quelle div pour les sous sections de chapitres ? ,,
"Daudet, Alphonse",1881-01-01T00:00:00+01:00,Sapho,Bibebook,canonique,1880-1890,81,259,,62,Camille,,,
"Daudet, Alphonse",1881-01-01T00:00:00+01:00,Numa Roumestan,Bibebook,canonique,1880-1890,81,259,,40,Camille,,,
"Flaubert, Gustave",1881-08-05T00:00:00+01:00,Bouvard et Pécuchet,,canonique,1880-1890,463,4430,posthume,93,,,,
"Huysmans, Joris Karl",1884-01-01T00:00:00+01:00,À rebours,,canonique,1880-1890,107,605,,38,Camille,XML vide ,,
"Huysmans, Joris-Karl",1881-12-23T00:00:00+01:00,En ménage,G. Charpentier,canonique,1880-1890,107,605,,18,Camille ,,,
"Loti, Pierre",1881-01-01T00:00:00+01:00,Le roman d’un spahi,Bibebook,canonique,1880-1890,134,214,,26,Camille,,,
"Loti, Pierre",1886-10-04T00:00:00+01:00,Pêcheur d'Islande,ILIVRI,canonique,1880-1890,134,214,,90,Camille,,,
"Maupassant, Guy de",1883-06-04T00:00:00+01:00,Une vie,,canonique,1880-1890,161,1030,,105,Marianne,,,
"Maupassant, Guy de",1885-12-23T00:00:00+01:00,Bel-Ami,Atramenta (www.atramenta.net),canonique,1880-1890,161,1030,,114,Marianne,,,
"Maupassant, Guy de",1887-06-04T00:00:00+01:00,Pierre et Jean,,canonique,1880-1890,161,1030,,62,Marianne,,,
Rachilde,1885-01-01T00:00:00+01:00,Monsieur Vénus,Couleur poing levé,canonique,1880-1890,,122,,8,Camille,,,
"Vallès, Jules",1881-10-11T00:00:00+01:00,L'Enfant,Ebooks libres et gratuits,canonique,1880-1890,95,244,,68,Camille,,,
"Vallès, Jules",1881-10-11T00:00:00+01:00,Le Bachelier,Ebooks libres et gratuits,canonique,1880-1890,95,244,,42,Camille,,,
"Vallès, Jules",1886-10-11T00:00:00+01:00,L'Insurgé,Ebooks libres et gratuits,canonique,1880-1890,95,244,,82,Camille,,,
"Verne, Jules",1881-06-15T00:00:00+01:00,La Jangada - Huit cent lieues sur l’Amazone,Ebooks libres et gratuits,canonique,1880-1890,1670,1480,,25 (pour la Jangada),Marianne,,,
"Verne, Jules",1885-01-04T00:00:00+01:00,Mathias Sandorf,Bibebook,canonique,1880-1890,1670,1480,,39,Marianne,,,
"Verne, Jules",1886-06-16T00:00:00+01:00,Robur-le-conquérant,La Bibliothèque électronique du Québec,canonique,1880-1890,1670,1480,,29,Marianne,,,
"Verne, Jules",1888-06-14T00:00:00+01:00,Deux ans de vacances,Ebooks libres et gratuits,canonique,1880-1890,1670,1480,,34,Marianne,,,
"Villiers de l'Isle-Adam, Auguste",1886-09-21T00:00:00+01:00,L'Ève future,,canonique,1880-1890,4,171,,20,,texte particulièrement long et mal balisé. Expressions régulières? ,,
"Zola, Émile",1880-06-04T00:00:00+01:00,Nana,,canonique,1880-1890,366,2450,,102,Marianne,,,
"Zola, Émile",1882-06-04T00:00:00+01:00,Pot-Bouille,,canonique,1880-1890,366,2450,,51,Marianne,,,
"Zola, Émile",1883-06-04T00:00:00+01:00,Au Bonheur des dames,,canonique,1880-1890,366,2450,,81,Marianne,,,
"Zola, Émile",1885-06-04T00:00:00+01:00,Germinal,,canonique,1880-1890,366,2450,,133,Marianne,,,
"Mirbeau, Octave",1886-07-26T00:00:00+01:00,Le Calvaire,Ebooks libres et gratuits,canonique,1880-1890,302,375,,15,Camille,,,
"Mirbeau, Octave",1888-07-26T00:00:00+01:00,L’Abbé Jules,Ebooks libres et gratuits,canonique,1880-1890,302,375,,15,Camille,,,
"Boisgobey, Fortuné du",1881-01-01T00:00:00+01:00,Le crime de l'omnibus,Bibebook,non-canonique,1880-1890,3,4,,5,Camille,,,
"Cherbuliez, Victor",1881-05-24T00:00:00+01:00,Noirs et Rouges,Hachette,non-canonique,1880-1890,4,non pertinent,,10,Camille,,,
"Cladel, Léon",1882-06-29T00:00:00+01:00,"Ompdrailles, le Tombeau des lutteurs",A. Lemerre,non-canonique,1880-1890,14,21,,5,,,,
"Claretie, Jules",1880-06-03T00:00:00+01:00,"Le Prince Zilah, roman parisien",E. Dentu,non-canonique,1880-1890,15,26,,25,Camille,,,
"Coppée, François",1889-01-01T00:00:00+01:00,Henriette,Bibebook,non-canonique,1880-1890,21,40,,8,Camille,,,
"Darien, Georges",1884-01-04T00:00:00+01:00,Le Voleur,Bibebook,non-canonique,1880-1890,9,16,,11,Camille,,,
"Feuillet, Octave",1857-01-01T00:00:00+01:00,La petite comtesse,Bibebook,non-canonique,1850-1860,6,non pertinent,,4,Camille,,,
"France, Anatole",1881-04-15T00:00:00+01:00,Le crime de Sylvestre Bonnard,,canonique,1880-1890,192,non pertinent ,,65,Camille ,,,
"Karr, Alphonse",1880-01-22T00:00:00+01:00,Bourdonnements,,non-canonique,1880-1890,24,23,,1,Camille,,,
"Larmandie, Léonce de",1888-02-22T00:00:00+01:00,Excelsior. Roman parisien,,non-canonique,1880-1890,1,1,,1,Camille,,,
"Lemonnier, Camille",1889-01-04T00:00:00+01:00,Ceux de la glèbe,Bibebook,non-canonique,1880-1890,25,161,homonymes,1,Camille,,,
"Lermina, Jules",1881-05-27T00:00:00+01:00,La haute canaille,J. Rouff,non-canonique,1880-1890,9,14,,1,Camille,,,
"Malot, Hector",1881-11-28T00:00:00+01:00,Une femme d'argent,Atramenta (www.atramenta.net),non-canonique,1880-1890,38,43,,5,Camille,,,
"Malot, Hector",1886-11-28T00:00:00+01:00,Baccara,Atramenta (www.atramenta.net),non-canonique,1880-1890,38,43,,4,Camille,,,
"Malot, Hector",1888-11-28T00:00:00+01:00,Conscience,Atramenta (www.atramenta.net),non-canonique,1880-1890,38,43,,5,Camille,,,
"Margueritte, Paul",1886-04-27T00:00:00+01:00,Jours d'épreuve,,non-canonique,1880-1890,5,non pertinent,,2,Camille,,,
"Ohnet, Georges",1882-05-23T00:00:00+01:00,Le Maître de forges,Ebooks libres et gratuits,non-canonique,1880-1890,12,19,,17,Camille,,,
"Sirven, Alfred",1883-05-20T00:00:00+01:00,"La Bigame, roman contemporain",J. Rouff,non-canonique,1880-1890,0,non pertinent,,1,Camille,,,
"Toudouze, Gustave",1882-06-29T00:00:00+01:00,"La Séductrice, roman parisien",V. Havard,non-canonique,1880-1890,1,1,,2,Camille,,,
"Soboleska, Mme (pseud. Jacques Lermont)",1887-02-15T00:00:00+01:00,Les Jeunes filles de Quinnebasset,J. Hetzel,"non-canonique, littérature jeunesse",1880-1890,0,0,,4,Camille,div correctes mais chapitres en désorde,,
"Ulbach, Louis",1880-05-09T00:00:00+01:00,Le Crime de Martial,C. Lévy,non-canonique,1880-1890,2,3,,1,Camille,note de bas de page,,
"Ulbach, Louis",1880-07-12T00:00:00+01:00,Le Château des Épines,C. Lévy,non-canonique,1880-1890,2,3,,1,Camille,,,
"Barrès, Maurice",1891-10-07T00:00:00+01:00,Le culte du moi 3 / Le jardin de Bérénice,,canonique,1890-1900,154,807,"(homonymie avec ""barres"")",30,,,,
"Bloy, Léon",1897-01-04T00:00:00+01:00,La Femme pauvre,Bibebook,canonique,1890-1900,210,292,,27,Camille,,,
"Bourget, Paul",1890-11-11T00:00:00+01:00,Un Coeur de femme,,canonique,1890-1900,149,353,,12,Camille,"XML incomplet, manque la fin du texte",,
"France, Anatole",1893-01-15T00:00:00+01:00,La rôtisserie de la reine Pédauque,C. Lévy,canonique,1890-1900,192,non pertinent,,52,Camille,xml vide,,
"France, Anatole",1895-06-10T00:00:00+01:00,Le Jardin d'Epicure,,canonique,1890-1900,192,non pertinent,,21,Camille,aucun chapitre dans l'epub,,
"France, Anatole",1897-01-01T00:00:00+01:00,L'orme du Mail,Bibebook,canonique,1890-1900,192,non pertinent,,30,Camille,,,
"Gide, André",1895-10-15T00:00:00+01:00,Paludes,Ebooks libres et gratuits,canonique,1890-1900,920,1750,,30,Camille,,,
"Gide, André",1897-10-15T00:00:00+01:00,Les nourritures terrestres,,canonique,1890-1900,920,1750,,34,Camille,quelle div pour nommer l'envoi final ? ,,
"Gourmont, Remy de",1890-01-31T00:00:00+01:00,Sixtine. Roman de la vie cérébrale,,canonique,1890-1900,169,287,,9,Camille,,,
"Gourmont, Remy de",1896-01-25T00:00:00+01:00,Le Pèlerin du silence,,canonique,1890-1900,169,287,,15,,XML à reconvertir (manque la première partie) ,,
"Huysmans, Joris Karl",1891-01-28T00:00:00+01:00,Là-bas,,canonique,1890-1900,107,605,,30,,XML vide à reconvertir,,
"Huysmans, Joris Karl",1895-02-12T00:00:00+01:00,En Route,,canonique,1890-1900,107,605,,21,Camille,,,
"Huysmans, Joris Karl",1898-01-04T00:00:00+01:00,La Cathédrale,Bibebook,canonique,1890-1900,107,605,,27,Camille,,,
"Loti, Pierre",1892-12-18T00:00:00+01:00,Fantôme d'Orient,,canonique,1890-1900,132,212,,10,Camille,,,
"Loti, Pierre",1897-01-01T00:00:00+01:00,Ramuntcho,Bibebook,canonique,1890-1900,132,212,,44,Camille,note de bas de page,,
"Louÿs, Pierre",1894-01-04T00:00:00+01:00,Les chansons de Bilitis,Bibebook,canonique,1890-1900,92,123,,69,Camille,,,
"Louÿs, Pierre",1896-01-01T00:00:00+01:00,Aphrodite : moeurs antiques,,canonique,1890-1900,92,123,,73,,"Essayer de retrouver le texte, pas du tout structuré",,
"Mirbeau, Octave",1899-07-26T00:00:00+01:00,Le Jardin des supplices,Ebooks libres et gratuits,canonique,1890-1900,302,375,,23,Camille ,,,
Rachilde,1894-04-30T00:00:00+01:00,Le Démon de l'Absurde,,canonique,1890-1900,119,,,2,,"nature des div ? histoire autonome, chapitre?",,
"Renard, Jules",1892-03-21T00:00:00+01:00,L’Écornifleur,,canonique,1890-1900,103,428,,20,Camille,,,
"Renard, Jules",1894-01-04T00:00:00+01:00,Poil de carotte,Bibebook,canonique,1890-1900,103,428,,127,Camille,,,
"Roussel, Raymond",1897-12-15T00:00:00+01:00,La doublure,Bibebook,canonique,1890-1900,130,421,,5,Camille,,,
Stendhal,1894-01-01T00:00:00+01:00,Lucien Leuwen,"Groupe ""Ebooks libres et gratuits""",canonique,1890-1900,?,,posthume : à enlever  ? ,,Marianne,,,
"Verne, Jules",1892-02-15T00:00:00+01:00,Le château des Carpathes,,canonique,1890-1900,1670,1480,,32,Marianne,,,
"Verne, Jules",1897-06-19T00:00:00+01:00,Le sphinx des glaces,Ebooks libres et gratuits,canonique,1890-1900,1670,1480,,22,Marianne,,,
"Zola, Émile",1890-01-04T00:00:00+01:00,La bête humaine,PRIMENTO,canonique,1890-1900,366,2450,,69,Marianne,,,
"Adam, Paul",1899-12-19T00:00:00+01:00,La Force,,non-canonique,1890-1900,32,non pertinent,,9,Camille,,,
"Boylesve, René",1899-07-23T00:00:00+01:00,Mademoiselle Clocque,,non-canonique,1890-1900,15,20,,1,Camille,,,
"Cherbuliez, Victor",1898-08-30T00:00:00+01:00,Jacquine Vanesse,,non-canonique,1890-1900,4,non pertinent ,,3,Camille,,,
"Colomb, Joséphine",1892-01-15T00:00:00+01:00,Les Conquêtes d'Hermine,Hachette,non-canonique,1890-1900,0,non pertinent ,,4,,,,
"Courteline, Georges",1893-01-04T00:00:00+01:00,Messieurs les-ronds-de-cuir,Bibebook,non-canonique,1890-1900,5,20,,34,Camille,,,
"Darien, Georges",1890-01-04T00:00:00+01:00,Biribi - Discipline Militaire,Bibebook,non-canonique,1890-1900,9,16,,9,camille,,,
"Delpit, Édouard",1890-04-20T00:00:00+01:00,Yvonne,,non-canonique,1890-1900,0,4,,1,Camille,,,
"Gautier, Judith",1894-11-14T00:00:00+01:00,Mémoires d'un Éléphant blanc,,non-canonique,1890-1900,22,non pertinent,,5,,,,
Gyp,1896-01-04T00:00:00+01:00,Bijou,Bibebook,non-canonique,1890-1900,10,non pertinent,,2,Camille,,,
"Hameau, Louise",1890-01-15T00:00:00+01:00,Mademoiselle Pourquoi,E. Guérin,non-canonique,1890-1900,0,non pertinent,,1,Camille,,,
"Karr, Alphonse",1890-09-29T00:00:00+01:00,La Maison de l'Ogre,,non-canonique,1890-1900,20,21,,1,,,,
"Le Rouge, Gustave",1899-01-04T00:00:00+01:00,La Conspiration des milliardaires - Tome I,Bibebook,non-canonique,1890-1900,22,,,2,Camille,,,
"Lemonnier, Camille",1890-06-23T00:00:00+01:00,Le possédé / étude passionnelle,,non-canonique,1890-1900,25,161 (homonymes),,2,CAMILLE,pas de div,,
"Lemonnier, Camille",1893-01-04T00:00:00+01:00,L'Homme qui tue les femmes,Bibebook,non-canonique,1890-1900,25,161 (homonymes),,0,Camille,pas de div,,
"Lemonnier, Camille",1897-01-27T00:00:00+01:00,L'homme en amour,Ebooks libres et gratuits,,1890-1900,25,161 (homonymes),,3,Camille,pas de div,,
"Lermina, Jules",1895-01-04T00:00:00+01:00,La deux fois morte,Bibebook,non-canonique,1890-1900,9,14,,3,Camille ,,,
"Malot, Hector",1893-11-28T00:00:00+01:00,En Famille,Atramenta (www.atramenta.net),non-canonique,1890-1900,38,43,,33,Camille ,,,
"Mendès, Catulle",1892-02-15T00:00:00+01:00,Luscignole,E. Dentu,non-canonique,1890-1900,78,351,,1,,,,
"Ohnet, Georges",1890-12-03T00:00:00+01:00,L'Ame de Pierre,,non-canonique,1890-1900,12,19,,6,Camille,,,
"Pont-Jest, René de",1890-09-22T00:00:00+01:00,Le Fleuve des perles (L’araignée Rouge),Ebooks libres et gratuits,"non-canonique, roman historique, non-canonique",1890-1900,2,2,,1,Camille,,,
"Prévost, Marcel",1892-06-13T00:00:00+01:00,L'automne d'une femme,,non-canonique,1890-1900,18,2710,(mais homonymie avec Prévost d'Exiles),12,Camille,,,
"Prévost, Marcel",1894-09-22T00:00:00+01:00,Les Demi-Vierges,Ebooks libres et gratuits,non-canonique,1890-1900,18,2710,(mais homonymie avec Prévost d'Exiles),16,Camille,,,
"Rodenbach, Georges",1892-11-24T00:00:00+01:00,Bruges-la-Morte,,non-canonique,1890-1900,49,100,,21,Camille,,,
"Tissot, Victor",1894-02-07T00:00:00+01:00,Simone. Histoire d'une jeune fille moderne,,non-canonique,1890-1900,1,non pertinent,,2,,,,
"Vandérem, Fernand",1894-07-16T00:00:00+01:00,La Cendre. Roman,,non-canonique,1890-1900,8,18,,1,Camille,,,
"Apollinaire, Guillaume",1907-10-29T00:00:00+01:00,Les Onze mille verges ou les Amours d'un hospodar,,canonique,1900-1910,225,992,,23,Camille,,,
"Barbusse, Henri",1908-01-01T00:00:00+01:00,L'enfer,Bibebook,canonique,1900-1910,63,104,,14,Camille,,,
"Barrès, Maurice",1909-01-22T00:00:00+01:00,Colette Baudoche,,canonique,1900-1910,183,437,,30,Camille,Absence de div (juste saut de paragraphe),,
Colette,1900-10-18T00:00:00+01:00,Claudine à l'école,Ebooks libres et gratuits,canonique,1900-1910,non pertinent,1190,Rajouter des Colette ? ,35,Camille,,,
Colette,1909-06-05T00:00:00+01:00,L'Ingénue libertine,Ebooks libres et gratuits,canonique,1900-1910,non pertinent,1190,,35,Camille,,,
Colette,1901-10-18T00:00:00+01:00,Claudine à Paris,Ebooks libres et gratuits,canonique,1900-1910,non pertinent,1190,,35,Camille,,,
"France, Anatole",1900-06-10T00:00:00+01:00,Monsieur Bergeret à Paris,,canonique,1900-1910,192,non pertinent,,20,Camille,,,
"France, Anatole",1903-12-01T00:00:00+01:00,Sur la pierre blanche,,canonique,1900-1910,192,non pertinent,,20,Camille ,version epub semble non conforme à XML ,,
"France, Anatole",1908-07-01T00:00:00+01:00,L'Île Des Pingouins,,canonique,1900-1910,192,non pertinent,,39,Camille,,,
"Gide, André",1902-09-30T00:00:00+01:00,L'immoraliste,,canonique,1900-1910,1100,1950,,33,,Absence de div retrouver le texte si possible ,,(mais structure pas complexe je peux le faire à la main)
"Gide, André",1909-09-29T00:00:00+01:00,La Porte étroite,,canonique,1900-1910,1100,1950,,37,,Absence de div retrouver le texte si possible ,,
"Giraudoux, Jean",1909-01-04T00:00:00+01:00,Provinciales,Bibebook,canonique,1900-1910,111,303,,16,Camille,,,
"Gourmont, Remy de",1907-12-19T00:00:00+01:00,Un cœur virginal,,canonique,1900-1910,174,294,,11,Camille,Je ne le retrouve plus dans les dossiers !!! ,,
"Léautaud, Paul",,Le petit ami,à trouver ,canonique,,58,107,,20,,non trouvé,,
"Loti, Pierre",1902-01-01T00:00:00+01:00,Les derniers jours de Pékin,Bibebook,canonique,1900-1910,132,212,récit de voyage ,16,Camille,note de bas de page ,,
"Loti, Pierre",1904-01-01T00:00:00+01:00,Vers Ispahan,Bibebook,canonique,1900-1910,132,212,récit de voyage ,11,Camille,note de bas de page ,,
"Loti, Pierre",1906-01-04T00:00:00+01:00,Les Désenchantées,Bibebook,canonique,1900-1910,132,212,,24,Camille,note de bas de page ,,
"Louÿs, Pierre",1901-11-27T00:00:00+01:00,Les aventures du roi Pausole,,canonique,1900-1910,92,114,,43,Camille,"Texte pas fini. Gros travail pour ce texte bourré d'épigraphes à chaque début de chapitres, mais il manque plusieurs chapitres (le 8 de la P2)",,
"Mirbeau, Octave",1900-06-07T00:00:00+01:00,Le journal d'une femme de chambre,Ebooks libres et gratuits,canonique,1900-1910,302,375,,27,Camille,,,
"Régnier, Henri de",1904-10-09T00:00:00+01:00,Les Rencontres de M. de Bréot,Ebooks libres et gratuits,canonique,1900-1910,92,330,,16,Camille,,,
"Rolland, Romain",1904-04-14T00:00:00+01:00,Jean-Christophe - Tome I - L'aube,Ebooks libres et gratuits,canonique,1900-1910,226,non pertinent,,28,Camille,,,
"Roussel, Raymond",1900-12-15T00:00:00+01:00,Chiquenaude,Bibebook,canonique,1900-1910,130,421,,3,,Plutôt une courte nouvelle sans div. A garder ?,,
"Segalen, Victor",1907-12-15T00:00:00+01:00,Les Immémoriaux,Bibebook,canonique,1900-1910,247,432,,17,Camille,Notes de bas de page ,,
"Verne, Jules",1902-06-26T00:00:00+01:00,Les frères Kip,La Bibliothèque électronique du Québec,canonique,1900-1910,1670,1480,,10,Marianne,,,
"Verne, Jules",1901-06-19T00:00:00+01:00,Le Village aérien,Ebooks libres et gratuits,canonique,1900-1910,1670,1480,,14,Marianne,,,
"Verne, Jules",1904-06-19T00:00:00+01:00,Maître du monde,Ebooks libres et gratuits,canonique,1900-1910,1670,1480,,19,Marianne,,,
"Zola, Émile",1903-06-04T00:00:00+01:00,Les Quatre Évangiles III - Vérité,,canonique,1900-1910,366,2450,posthume,9,Marianne,,,
"Lorrain, Jean",1901-11-20T00:00:00+01:00,"Monsieur de Phocas, Astarta : Roman",,canonique,1900-1910,123,247,,10,Camille,,,
"Aicard, Jean",1908-09-27T00:00:00+01:00,Maurin des Maures,,non-canonique,1900-1910,7,8,,28,Camille,,,
"Bazin, René",1901-01-01T00:00:00+01:00,Les Oberlé,Bibebook,non-canonique,1900-1910,8,non pertinent,,17,Camille,,,
"Bazin, René",1907-01-01T00:00:00+01:00,Le blé qui lève,Bibebook,non-canonique,1900-1910,8,non pertinent,,7,Camille,,,
"Bordeaux, Henry",1906-11-26T00:00:00+01:00,Les Roquevillard,,non-canonique,1900-1910,20,non pertinent,gros vendeur (La peur de vivre) ,12,,,,
"Boylesve, René",1909-11-11T00:00:00+01:00,La jeune fille bien élevée,,non-canonique,1900-1910,15,20,,5,Camille,,,
"Farrère, Claude",1906-03-08T00:00:00+01:00,L'homme qui assassina,,non-canonique,1900-1910,10,10,Prendre les civilisés,19,Camille,,,
"Gautier, Judith",1904-10-16T00:00:00+01:00,Le paravent de soie et d'or,,non-canonique,1900-1910,22,non pertinent,,2,,,,
"Le Roy, Eugène",1900-01-04T00:00:00+01:00,Jacquou Le Croquant,Bibebook,non-canonique,1900-1910,3,non pertinent,,52,Camille,,,
"Le Roy, Eugène",1905-11-18T00:00:00+01:00,Le moulin du Frau,,non-canonique,1900-1910,3,non pertinent,,15,Camille,,,
"Lesueur, Daniel",1902-01-30T00:00:00+01:00,Le meurtre d'une âme,,non-canonique,1900-1910,10,23,,3,Camille,,,
"Maël, Pierre",1901-06-16T00:00:00+01:00,Un mousse de Surcouf,Ebooks libres et gratuits,"non-canonique, littérature jeunesse",1900-1910,0,non pertinent,,5,Camille,,,
"Eekhoud, Georges",1904-01-04T00:00:00+01:00,L'Autre vue,Bibebook,non-canonique,1900-1910,21,29,,3,Camille,note de bas de page ,,
"Le Rouge, Gustave",1904-01-04T00:00:00+01:00,L'Esclave amoureuse,Bibebook,non-canonique,1900-1910,21,non pertinent,,1,Camille,,,
"Lermina, Jules",1905-01-04T00:00:00+01:00,To-Ho Le Tueur d'or,Bibebook,non-canonique,1900-1910,9,14,,0,Camille,note de bas de page,,
"Dhanys, Marcel",1908-12-08T00:00:00+01:00,Le Roman du grand Condé,P. Ollendorff,"non-canonique, roman historique",1900-1910,0,0,,1,Camille,,,
"Leblanc, Maurice",1909-01-04T00:00:00+01:00,L’Aiguille creuse,Bibebook,non-canonique,1900-1910,25,non pertinent,,44,Camille,,,
"Leroux, Gaston",1908-01-04T00:00:00+01:00,Le mystère de la chambre jaune,Bibebook,"non-canonique, non-canonique",1900-1910,45,non pertinent,,43,Camille,note de bas de page,,
"Leroux, Gaston",1909-01-04T00:00:00+01:00,Le parfum de la Dame en noir,Bibebook,"non-canonique, non-canonique",1900-1910,45,non pertinent,,27,Camille,note de bas de page,,
"Philippe, Charles-Louis",1900-08-20T00:00:00+01:00,La mère et l'enfant,,non-canonique,1900-1910,45,non pertinent,,15,Camille,,,
"Rebell, Hugues",1902-12-15T00:00:00+01:00,Les Nuits chaudes du Cap français,Bibebook,non-canonique,1900-1910,6,14,,12,,,,
"Savine, Albert",1908-03-19T00:00:00+01:00,L'Assassinat de la Duchesse de Praslin,,non-canonique,1900-1910,4,non pertinent,,12,Camille,,,
"Zévaco, Michel",1907-01-04T00:00:00+01:00,Les Pardaillan,Bibebook,non-canonique,1900-1910,52,56,,25,Camille,note de bas de page,,
"Zévaco, Michel",1907-01-04T00:00:00+01:00,L'épopée d'amour,Bibebook,non-canonique,1900-1910,52,56,,16,Camille,,,
Alain-Fournier,1913-01-01T00:00:00+01:00,Le grand Meaulnes,Bibebook,canonique,1910-1920,non pertinent ,117,,135,camille,,,
"Apollinaire, Guillaume",1911-01-01T00:00:00+01:00,Les exploits d’un jeune don Juan,,canonique,1910-1920,225,992,,18,,pas de div à retrouver si possible (mais structure simple),,
"Barbusse, Henri",1916-01-15T00:00:00+01:00,Le Feu,BELENUS,canonique,1910-1920,63,104,,59,Camille,,,
